id,x,y,width,height,xoffset,yoffset,xadvance,page,chnl
32,28,58,1,1,0,27,16,0,15
33,252,0,3,18,5,9,16,0,15
34,74,71,11,8,2,9,16,0,15
35,84,0,13,18,0,9,16,0,15
36,28,0,13,19,0,11,16,0,15
37,206,38,10,18,0,9,16,0,15
38,112,0,13,18,0,9,16,0,15
39,95,71,5,8,5,9,16,0,15
40,246,38,5,18,5,9,16,0,15
41,0,62,5,18,5,9,16,0,15
42,86,71,8,8,0,9,16,0,15
43,207,57,13,13,0,14,16,0,15
44,249,57,6,8,2,22,16,0,15
45,123,71,8,3,2,19,16,0,15
46,119,71,3,5,5,22,16,0,15
47,182,38,11,18,2,9,16,0,15
48,0,81,13,13,0,14,16,0,15
49,81,57,13,13,0,14,16,0,15
50,95,57,13,13,0,14,16,0,15
51,42,19,13,18,0,14,16,0,15
52,56,19,13,18,0,14,16,0,15
53,70,19,13,18,0,14,16,0,15
54,42,0,13,18,0,9,16,0,15
55,98,19,13,18,0,14,16,0,15
56,112,19,13,18,0,9,16,0,15
57,126,19,13,18,0,14,16,0,15
58,252,38,3,13,5,14,16,0,15
59,32,58,6,16,2,14,16,0,15
60,37,75,8,13,2,14,16,0,15
61,46,72,13,8,0,17,16,0,15
62,28,79,8,13,5,14,16,0,15
63,182,19,13,18,0,9,16,0,15
64,196,19,13,18,0,9,16,0,15
65,210,19,13,18,0,9,16,0,15
66,224,19,13,18,0,9,16,0,15
67,238,19,13,18,0,9,16,0,15
68,0,43,13,18,0,9,16,0,15
69,14,43,13,18,0,9,16,0,15
70,28,39,13,18,0,9,16,0,15
71,42,38,13,18,0,9,16,0,15
72,56,38,13,18,0,9,16,0,15
73,70,38,13,18,0,9,16,0,15
74,217,38,10,18,0,9,16,0,15
75,84,38,13,18,0,9,16,0,15
76,0,24,13,18,0,9,16,0,15
77,14,24,13,18,0,9,16,0,15
78,28,20,13,18,0,9,16,0,15
79,182,0,13,18,0,9,16,0,15
80,168,19,13,18,0,9,16,0,15
81,0,0,13,23,0,9,16,0,15
82,154,19,13,18,0,9,16,0,15
83,140,19,13,18,0,9,16,0,15
84,84,19,13,18,0,9,16,0,15
85,224,0,13,18,0,9,16,0,15
86,210,0,13,18,0,9,16,0,15
87,196,0,13,18,0,9,16,0,15
88,168,0,13,18,0,9,16,0,15
89,126,0,13,18,0,9,16,0,15
90,70,0,13,18,0,9,16,0,15
91,12,62,5,18,5,9,16,0,15
92,194,38,11,18,2,9,16,0,15
93,6,62,5,18,5,9,16,0,15
94,101,71,8,5,2,6,16,0,15
95,132,71,13,2,0,25,16,0,15
96,110,71,8,5,0,6,16,0,15
97,137,57,13,13,0,14,16,0,15
98,98,38,13,18,0,9,16,0,15
99,235,57,13,13,0,14,16,0,15
100,112,38,13,18,0,9,16,0,15
101,14,81,13,13,0,14,16,0,15
102,126,38,13,18,0,9,16,0,15
103,140,38,13,18,0,14,16,0,15
104,154,38,13,18,0,9,16,0,15
105,168,38,13,18,0,9,16,0,15
106,14,0,13,23,0,9,16,0,15
107,56,0,13,18,0,9,16,0,15
108,98,0,13,18,0,9,16,0,15
109,39,58,13,13,0,14,16,0,15
110,53,57,13,13,0,14,16,0,15
111,67,57,13,13,0,14,16,0,15
112,140,0,13,18,0,14,16,0,15
113,154,0,13,18,0,14,16,0,15
114,109,57,13,13,0,14,16,0,15
115,123,57,13,13,0,14,16,0,15
116,18,62,13,16,0,11,16,0,15
117,151,57,13,13,0,14,16,0,15
118,165,57,13,13,0,14,16,0,15
119,179,57,13,13,0,14,16,0,15
120,193,57,13,13,0,14,16,0,15
121,238,0,13,18,0,14,16,0,15
122,221,57,13,13,0,14,16,0,15
123,228,38,8,18,2,9,16,0,15
124,252,19,3,18,5,9,16,0,15
125,237,38,8,18,5,9,16,0,15
126,60,71,13,8,0,14,16,0,15
